sn,fault_time,msg_feature,server_model
SERVER_440,2020-09-28 02:20:00,"[[79, 11, 4, 68, 2, 4], [110, 26, 4, 68, 1, 0], [94, 13, 9, 68, 1, 0], [73, 13, 9, 68, 1, 0], [87, 13, 9, 68, 1, 0], [83, 13, 9, 68, 1, 0], [74, 13, 9, 68, 1, 0], [107, 13, 9, 68, 1, 0], [115, 13, 9, 68, 1, 0], [77, 13, 9, 68, 1, 0], [104, 13, 9, 68, 1, 0], [80, 13, 9, 68, 1, 0], [98, 13, 9, 68, 1, 0], [100, 13, 9, 68, 1, 0], [85, 13, 9, 68, 1, 0], [111, 13, 9, 68, 1, 0], [88, 13, 9, 68, 1, 0], [113, 13, 9, 68, 1, 0], [110, 20, 4, 68, 1, 0], [100, 13, 4, 68, 1, 0], [77, 13, 4, 68, 1, 0], [94, 13, 4, 68, 1, 0], [85, 13, 4, 68, 1, 0], [83, 13, 4, 68, 1, 0], [104, 13, 4, 68, 1, 0], [98, 13, 4, 68, 1, 0], [107, 13, 4, 68, 1, 0], [73, 13, 4, 68, 1, 0], [87, 13, 4, 68, 1, 0], [115, 13, 4, 68, 1, 0], [80, 13, 4, 68, 1, 0], [88, 13, 4, 68, 1, 0], [74, 13, 4, 68, 1, 0], [111, 13, 4, 68, 1, 0], [113, 13, 4, 68, 1, 0]]",55
SERVER_694,2020-06-09 21:50:00,"[[110, 26, 4, 85, 2, 7], [94, 13, 9, 85, 2, 7], [100, 13, 9, 85, 2, 7], [83, 13, 9, 85, 2, 7], [85, 13, 9, 85, 2, 7], [77, 13, 9, 85, 2, 7], [74, 13, 9, 85, 2, 7], [98, 13, 9, 85, 2, 7], [107, 13, 9, 85, 2, 7], [104, 13, 9, 85, 2, 7], [115, 13, 9, 85, 2, 7], [73, 13, 9, 85, 2, 7], [80, 13, 9, 85, 2, 7], [111, 13, 9, 85, 2, 7], [88, 13, 9, 85, 2, 7], [87, 13, 9, 85, 2, 7], [113, 13, 9, 85, 2, 7], [94, 13, 4, 85, 1, 0], [79, 11, 4, 85, 1, 0], [110, 20, 4, 85, 1, 0], [77, 13, 4, 85, 1, 0], [74, 13, 4, 85, 1, 0], [100, 13, 4, 85, 1, 0], [83, 13, 4, 85, 1, 0], [85, 13, 4, 85, 1, 0], [115, 13, 4, 85, 1, 0], [98, 13, 4, 85, 1, 0], [107, 13, 4, 85, 1, 0], [104, 13, 4, 85, 1, 0], [73, 13, 4, 85, 1, 0], [80, 13, 4, 85, 1, 0], [87, 13, 4, 85, 1, 0], [111, 13, 4, 85, 1, 0], [88, 13, 4, 85, 1, 0], [113, 13, 4, 85, 1, 0], [87, 8, 4, 85, 1, 0], [111, 8, 4, 85, 1, 0], [87, 23, 4, 85, 1, 0], [87, 23, 9, 81, 1, 0], [87, 8, 9, 81, 1, 0], [111, 8, 9, 81, 1, 0]]",55
SERVER_136,2020-01-28 10:55:00,"[[87, 13, 4, 53, 2, 7], [113, 13, 4, 53, 2, 7], [80, 13, 4, 53, 2, 7], [136, 131, 0, 53, 1, 0], [130, 131, 4, 53, 1, 0], [164, 32, 4, 53, 1, 0], [144, 32, 4, 53, 1, 0], [157, 32, 4, 53, 1, 0], [170, 32, 4, 53, 1, 0], [142, 32, 4, 53, 1, 0], [96, 32, 4, 53, 1, 0], [103, 32, 4, 53, 1, 0], [129, 32, 4, 53, 1, 0], [78, 32, 4, 53, 1, 0], [70, 32, 4, 53, 1, 0], [134, 32, 4, 53, 1, 0], [119, 32, 4, 53, 1, 0], [110, 20, 4, 53, 2, 7], [86, 32, 4, 53, 1, 0], [128, 32, 4, 53, 1, 0], [154, 32, 4, 53, 1, 0], [133, 32, 4, 53, 1, 0], [89, 32, 4, 53, 1, 0], [120, 32, 4, 53, 1, 0], [75, 76, 4, 53, 1, 0], [116, 32, 4, 53, 1, 0], [97, 32, 4, 53, 1, 0], [137, 32, 4, 53, 1, 0], [101, 76, 4, 53, 1, 0], [117, 32, 4, 53, 1, 0], [126, 32, 4, 53, 1, 0], [99, 32, 4, 53, 1, 0], [79, 11, 4, 27, 2, 4], [100, 95, 4, 26, 1, 0], [108, 109, 4, 26, 1, 0], [85, 13, 9, 26, 1, 0], [100, 13, 9, 26, 1, 0], [100, 95, 9, 26, 1, 0], [94, 13, 9, 26, 1, 0], [110, 26, 4, 26, 1, 0], [83, 13, 9, 26, 1, 0], [107, 13, 9, 26, 1, 0], [73, 13, 9, 26, 1, 0], [113, 13, 9, 26, 1, 0], [77, 13, 9, 26, 1, 0], [80, 13, 9, 26, 1, 0], [108, 109, 9, 26, 1, 0], [98, 13, 9, 26, 1, 0], [87, 13, 9, 26, 1, 0], [104, 13, 9, 26, 1, 0]]",55
SERVER_507,2020-06-28 14:05:00,"[[115, 13, 4, 98, 2, 5], [80, 13, 4, 98, 2, 5], [73, 13, 4, 98, 2, 5], [88, 13, 4, 98, 2, 5], [111, 13, 4, 98, 2, 5], [113, 13, 4, 98, 2, 5], [107, 13, 4, 98, 2, 5], [87, 13, 4, 98, 2, 5], [91, 6, 4, 98, 1, 0], [91, 132, 4, 98, 1, 0], [114, 6, 4, 98, 1, 0], [114, 132, 4, 98, 1, 0], [114, 36, 4, 98, 1, 0], [91, 36, 4, 98, 1, 0], [110, 26, 4, 98, 1, 0], [100, 13, 9, 98, 1, 0], [94, 13, 9, 98, 1, 0], [91, 36, 9, 98, 1, 0], [85, 13, 9, 98, 1, 0], [74, 13, 9, 98, 1, 0], [114, 132, 9, 98, 1, 0], [114, 36, 9, 98, 1, 0], [91, 6, 9, 98, 1, 0], [114, 6, 9, 98, 1, 0], [91, 132, 9, 98, 1, 0], [83, 13, 9, 98, 1, 0], [77, 13, 9, 98, 1, 0], [107, 13, 9, 98, 1, 0], [98, 13, 9, 98, 1, 0], [115, 13, 9, 98, 1, 0], [104, 13, 9, 98, 1, 0], [73, 13, 9, 98, 1, 0], [80, 13, 9, 98, 1, 0], [87, 13, 9, 98, 1, 0], [113, 13, 9, 98, 1, 0], [88, 13, 9, 98, 1, 0], [111, 13, 9, 98, 1, 0], [146, 76, 4, 98, 1, 0], [145, 76, 4, 98, 1, 0], [145, 76, 9, 98, 1, 0], [146, 76, 9, 98, 1, 0], [79, 11, 4, 63, 1, 0], [146, 76, 4, 59, 1, 0], [145, 76, 4, 59, 1, 0], [93, 76, 4, 59, 2, 3], [140, 76, 4, 59, 2, 3], [93, 76, 9, 59, 2, 3], [140, 76, 9, 59, 2, 3], [145, 76, 9, 59, 1, 0], [146, 76, 9, 59, 1, 0]]",55
SERVER_427,2020-03-03 01:54:00,"[[77, 92, 4, 14, 2, 5], [79, 11, 4, 14, 2, 4], [77, 92, 9, 14, 1, 0], [77, 8, 4, 13, 2, 4], [81, 82, 4, 12, 1, 0], [81, 82, 0, 12, 2, 2], [100, 13, 9, 12, 1, 0], [81, 82, 9, 12, 1, 0], [77, 8, 9, 12, 1, 0], [94, 13, 9, 12, 1, 0], [110, 26, 4, 12, 1, 0], [115, 13, 9, 12, 1, 0], [85, 13, 9, 12, 1, 0], [73, 13, 9, 12, 1, 0], [77, 13, 9, 12, 1, 0], [80, 13, 9, 12, 1, 0], [83, 13, 9, 12, 1, 0], [107, 13, 9, 12, 1, 0], [98, 13, 9, 12, 1, 0], [104, 13, 9, 12, 1, 0], [87, 13, 9, 12, 1, 0], [74, 13, 9, 12, 1, 0], [111, 13, 9, 12, 1, 0], [88, 13, 9, 12, 1, 0], [113, 13, 9, 12, 1, 0], [110, 20, 4, 12, 1, 0], [85, 13, 4, 12, 1, 0], [94, 13, 4, 12, 1, 0], [100, 13, 4, 12, 1, 0], [74, 13, 4, 12, 1, 0], [98, 13, 4, 12, 1, 0], [77, 13, 4, 12, 1, 0], [104, 13, 4, 12, 1, 0], [115, 13, 4, 12, 1, 0], [83, 13, 4, 12, 1, 0], [88, 13, 4, 12, 1, 0], [113, 13, 4, 12, 1, 0], [107, 13, 4, 12, 1, 0], [87, 13, 4, 12, 1, 0], [111, 13, 4, 12, 1, 0], [80, 13, 4, 12, 1, 0], [73, 13, 4, 12, 1, 0]]",55
SERVER_681,2020-01-13 05:53:00,"[[94, 95, 4, 44, 1, 0], [79, 11, 4, 44, 1, 0], [94, 95, 9, 44, 1, 0], [120, 90, 4, 43, 1, 0], [89, 90, 4, 43, 1, 0], [117, 90, 4, 43, 1, 0], [99, 90, 4, 43, 1, 0], [97, 90, 4, 43, 1, 0], [116, 90, 4, 43, 1, 0], [71, 72, 4, 43, 1, 0], [117, 90, 9, 43, 1, 0], [120, 90, 9, 43, 1, 0], [116, 90, 9, 43, 1, 0], [97, 90, 9, 43, 1, 0], [99, 90, 9, 43, 1, 0], [89, 90, 9, 43, 1, 0]]",55
SERVER_183,2020-07-17 17:54:00,"[[83, 13, 9, 86, 2, 7], [104, 13, 9, 86, 2, 7], [107, 13, 9, 86, 2, 7], [87, 13, 9, 86, 2, 7], [80, 13, 9, 86, 2, 7], [113, 13, 9, 86, 2, 7], [135, 3, 0, 86, 3, 5], [135, 3, 4, 86, 3, 5], [121, 22, 4, 86, 2, 5], [75, 76, 4, 86, 1, 0], [101, 76, 4, 86, 1, 0], [112, 76, 4, 86, 1, 0], [102, 76, 4, 86, 1, 0], [105, 42, 4, 86, 1, 0], [118, 42, 4, 86, 1, 0], [84, 17, 0, 85, 1, 0], [84, 17, 4, 85, 1, 0], [91, 13, 4, 85, 1, 0], [136, 131, 0, 85, 1, 0], [123, 17, 4, 85, 1, 0], [122, 17, 4, 85, 1, 0], [123, 17, 0, 85, 1, 0], [130, 131, 4, 85, 1, 0], [136, 131, 4, 85, 1, 0], [122, 17, 0, 85, 1, 0], [138, 139, 4, 85, 1, 0], [114, 13, 4, 85, 1, 0], [138, 139, 0, 85, 1, 0], [96, 32, 4, 85, 1, 0], [129, 32, 4, 85, 1, 0], [103, 32, 4, 85, 1, 0], [70, 32, 4, 85, 1, 0], [170, 32, 4, 85, 1, 0], [157, 32, 4, 85, 1, 0], [144, 32, 4, 85, 1, 0], [142, 32, 4, 85, 1, 0], [78, 32, 4, 85, 1, 0], [164, 32, 4, 85, 1, 0], [154, 32, 4, 85, 1, 0], [128, 32, 4, 85, 1, 0], [120, 32, 4, 85, 1, 0], [99, 32, 4, 85, 1, 0], [86, 32, 4, 85, 1, 0], [133, 32, 4, 85, 1, 0], [126, 32, 4, 85, 1, 0], [89, 32, 4, 85, 1, 0], [119, 32, 4, 85, 1, 0], [134, 32, 4, 85, 1, 0], [137, 32, 4, 85, 1, 0], [97, 32, 4, 85, 1, 0]]",55
SERVER_152,2020-03-04 22:52:00,"[[77, 13, 9, 100, 1, 0], [87, 13, 9, 100, 1, 0], [83, 13, 9, 100, 1, 0], [110, 26, 4, 100, 1, 0], [113, 13, 9, 100, 1, 0], [100, 13, 9, 100, 1, 0], [85, 13, 9, 100, 1, 0], [80, 13, 9, 100, 1, 0], [94, 13, 9, 100, 1, 0], [110, 20, 4, 100, 1, 0], [79, 11, 4, 100, 1, 0], [94, 13, 4, 100, 1, 0], [107, 13, 4, 100, 1, 0], [104, 13, 4, 100, 1, 0], [77, 13, 4, 100, 1, 0], [83, 13, 4, 100, 1, 0], [85, 13, 4, 100, 1, 0], [80, 13, 4, 100, 1, 0], [73, 13, 4, 100, 1, 0], [100, 13, 4, 100, 1, 0], [87, 13, 4, 100, 1, 0], [98, 13, 4, 100, 1, 0], [113, 13, 4, 100, 1, 0], [110, 26, 4, 98, 2, 9], [94, 13, 9, 98, 2, 9], [107, 13, 9, 98, 2, 9], [98, 13, 9, 98, 2, 9], [104, 13, 9, 98, 2, 9], [73, 13, 9, 98, 2, 9], [77, 13, 9, 98, 2, 9], [87, 13, 9, 98, 2, 9], [83, 13, 9, 98, 2, 9], [113, 13, 9, 98, 2, 9], [100, 13, 9, 98, 2, 9], [85, 13, 9, 98, 2, 9], [80, 13, 9, 98, 2, 9], [110, 20, 4, 98, 2, 9], [79, 11, 4, 98, 2, 9], [94, 13, 4, 98, 2, 9], [107, 13, 4, 98, 2, 9], [104, 13, 4, 98, 2, 9], [77, 13, 4, 98, 2, 9], [83, 13, 4, 98, 2, 9], [85, 13, 4, 98, 2, 9], [80, 13, 4, 98, 2, 9], [73, 13, 4, 98, 2, 9], [100, 13, 4, 98, 2, 9], [87, 13, 4, 98, 2, 9], [98, 13, 4, 98, 2, 9], [113, 13, 4, 98, 2, 9]]",55
SERVER_660,2020-02-11 18:13:00,"[[110, 26, 4, 55, 1, 0], [107, 13, 9, 55, 1, 0], [74, 13, 9, 55, 1, 0], [94, 13, 9, 55, 1, 0], [98, 13, 9, 55, 1, 0], [83, 13, 9, 55, 1, 0], [115, 13, 9, 55, 1, 0], [85, 13, 9, 55, 1, 0], [77, 13, 9, 55, 1, 0], [104, 13, 9, 55, 1, 0], [73, 13, 9, 55, 1, 0], [100, 13, 9, 55, 1, 0], [91, 163, 4, 55, 1, 0], [111, 13, 9, 55, 1, 0], [80, 13, 9, 55, 1, 0], [87, 13, 9, 55, 1, 0], [88, 13, 9, 55, 1, 0], [113, 13, 9, 55, 1, 0], [91, 163, 9, 55, 1, 0]]",55
SERVER_400,2020-01-12 21:14:00,"[[110, 20, 4, 90, 2, 2], [79, 11, 4, 90, 3, 8], [85, 13, 4, 90, 2, 2], [73, 13, 4, 90, 2, 2], [77, 13, 4, 90, 2, 2], [104, 13, 4, 90, 2, 2], [98, 13, 4, 90, 2, 2], [94, 13, 4, 90, 2, 2], [87, 13, 4, 90, 2, 2], [113, 13, 4, 90, 2, 2], [110, 26, 4, 90, 1, 0], [98, 13, 9, 90, 1, 0], [94, 13, 9, 90, 1, 0], [113, 13, 9, 90, 1, 0], [73, 13, 9, 90, 1, 0], [87, 13, 9, 90, 1, 0], [77, 13, 9, 90, 1, 0], [104, 13, 9, 90, 1, 0], [85, 13, 9, 90, 1, 0], [150, 152, 4, 85, 1, 0]]",55
SERVER_215,2020-06-16 01:06:00,"[[91, 36, 4, 12, 1, 0], [91, 6, 4, 12, 1, 0], [114, 36, 4, 12, 1, 0], [91, 132, 4, 12, 1, 0], [73, 95, 4, 12, 1, 0], [114, 132, 4, 12, 1, 0], [114, 6, 4, 12, 1, 0], [79, 11, 4, 12, 2, 4], [91, 132, 9, 12, 1, 0], [91, 36, 9, 12, 1, 0], [91, 6, 9, 12, 1, 0], [114, 132, 9, 12, 1, 0], [114, 36, 9, 12, 1, 0], [114, 6, 9, 12, 1, 0], [73, 95, 9, 12, 1, 0], [94, 13, 9, 10, 1, 0], [110, 26, 4, 10, 1, 0], [98, 13, 9, 10, 1, 0], [77, 13, 9, 10, 1, 0], [85, 13, 9, 10, 1, 0], [73, 13, 9, 10, 1, 0], [104, 13, 9, 10, 1, 0], [113, 13, 9, 10, 1, 0], [87, 13, 9, 10, 1, 0], [110, 20, 4, 10, 1, 0], [94, 13, 4, 10, 1, 0], [85, 13, 4, 10, 1, 0], [77, 13, 4, 10, 1, 0], [104, 13, 4, 10, 1, 0], [98, 13, 4, 10, 1, 0], [87, 13, 4, 10, 1, 0], [113, 13, 4, 10, 1, 0], [73, 13, 4, 10, 1, 0]]",55
SERVER_559,2020-11-13 16:38:00,"[[83, 13, 9, 42, 1, 0], [94, 13, 9, 42, 1, 0], [110, 26, 4, 42, 1, 0], [80, 8, 9, 42, 1, 0], [85, 13, 9, 42, 1, 0], [100, 13, 9, 42, 1, 0], [80, 13, 9, 42, 1, 0], [104, 13, 9, 42, 1, 0], [113, 13, 9, 42, 1, 0], [77, 13, 9, 42, 1, 0], [98, 13, 9, 42, 1, 0], [107, 13, 9, 42, 1, 0], [74, 13, 9, 42, 1, 0], [120, 32, 9, 42, 1, 0], [73, 13, 9, 42, 1, 0], [111, 13, 9, 42, 1, 0], [115, 13, 9, 42, 1, 0], [88, 13, 9, 42, 1, 0], [97, 32, 9, 42, 1, 0], [87, 13, 9, 42, 1, 0], [110, 20, 4, 18, 1, 0], [79, 11, 4, 18, 1, 0], [100, 13, 4, 18, 1, 0], [98, 13, 4, 18, 1, 0], [115, 13, 4, 18, 1, 0], [111, 13, 4, 18, 1, 0], [107, 13, 4, 18, 1, 0], [80, 13, 4, 18, 1, 0], [94, 13, 4, 18, 1, 0], [83, 13, 4, 18, 1, 0], [104, 13, 4, 18, 1, 0], [77, 13, 4, 18, 1, 0], [85, 13, 4, 18, 1, 0], [73, 13, 4, 18, 1, 0], [74, 13, 4, 18, 1, 0], [87, 13, 4, 18, 1, 0], [97, 32, 4, 18, 1, 0], [113, 13, 4, 18, 1, 0], [88, 13, 4, 18, 1, 0], [120, 32, 4, 18, 1, 0], [80, 8, 4, 17, 1, 0]]",55
SERVER_261,2020-02-16 07:14:00,"[[101, 76, 4, 87, 3, 9], [75, 76, 4, 87, 3, 9], [75, 76, 9, 87, 3, 9], [101, 76, 9, 87, 3, 9], [79, 11, 4, 17, 2, 4], [81, 82, 4, 16, 1, 0], [81, 82, 0, 16, 2, 2], [110, 26, 4, 16, 1, 0], [94, 13, 9, 16, 1, 0], [83, 13, 9, 16, 1, 0], [104, 13, 9, 16, 1, 0], [100, 13, 9, 16, 1, 0], [77, 13, 9, 16, 1, 0], [107, 13, 9, 16, 1, 0], [85, 13, 9, 16, 1, 0], [73, 13, 9, 16, 1, 0], [81, 82, 9, 16, 1, 0], [98, 13, 9, 16, 1, 0], [80, 13, 9, 16, 1, 0], [87, 13, 9, 16, 1, 0], [113, 13, 9, 16, 1, 0], [110, 20, 4, 16, 1, 0], [87, 13, 4, 16, 1, 0], [94, 13, 4, 16, 1, 0], [98, 13, 4, 16, 1, 0], [83, 13, 4, 16, 1, 0], [100, 13, 4, 16, 1, 0], [73, 13, 4, 16, 1, 0], [104, 13, 4, 16, 1, 0], [80, 13, 4, 16, 1, 0], [107, 13, 4, 16, 1, 0], [77, 13, 4, 16, 1, 0], [85, 13, 4, 16, 1, 0], [113, 13, 4, 16, 1, 0]]",55
SERVER_132,2020-02-11 12:59:00,"[[108, 109, 4, 83, 1, 0], [80, 95, 4, 83, 1, 0], [80, 95, 9, 33, 1, 0], [79, 11, 4, 33, 2, 4], [108, 109, 9, 33, 1, 0], [110, 26, 4, 32, 1, 0], [87, 13, 9, 32, 1, 0], [77, 13, 9, 32, 1, 0], [107, 13, 9, 32, 1, 0], [73, 13, 9, 32, 1, 0], [80, 13, 9, 32, 1, 0], [113, 13, 9, 32, 1, 0], [83, 13, 9, 32, 1, 0], [100, 13, 9, 32, 1, 0], [104, 13, 9, 32, 1, 0], [94, 13, 9, 32, 1, 0], [85, 13, 9, 32, 1, 0], [98, 13, 9, 32, 1, 0], [110, 20, 4, 32, 1, 0], [100, 13, 4, 32, 1, 0], [94, 13, 4, 32, 1, 0], [83, 13, 4, 32, 1, 0], [85, 13, 4, 32, 1, 0], [87, 13, 4, 32, 1, 0], [73, 13, 4, 32, 1, 0], [113, 13, 4, 32, 1, 0], [77, 13, 4, 32, 1, 0], [80, 13, 4, 32, 1, 0], [98, 13, 4, 32, 1, 0], [107, 13, 4, 32, 1, 0], [104, 13, 4, 32, 1, 0]]",55
SERVER_580,2020-06-07 16:12:00,"[[110, 20, 4, 22, 2, 2], [79, 11, 4, 22, 2, 2], [97, 32, 4, 22, 2, 2], [77, 13, 4, 22, 2, 2], [74, 13, 4, 22, 2, 2], [85, 13, 4, 22, 2, 2], [94, 13, 4, 22, 2, 2], [100, 13, 4, 22, 2, 2], [83, 13, 4, 22, 2, 2], [98, 13, 4, 22, 2, 2], [115, 13, 4, 22, 2, 2], [107, 13, 4, 22, 2, 2], [111, 13, 4, 22, 2, 2], [80, 13, 4, 22, 2, 2], [113, 13, 4, 22, 2, 2], [87, 13, 4, 22, 2, 2], [88, 13, 4, 22, 2, 2], [104, 13, 4, 22, 2, 2], [73, 13, 4, 22, 2, 2], [110, 26, 4, 22, 1, 0], [85, 13, 9, 22, 1, 0], [113, 13, 9, 22, 1, 0], [88, 13, 9, 22, 1, 0], [73, 13, 9, 22, 1, 0], [94, 13, 9, 22, 1, 0], [107, 13, 9, 22, 1, 0], [115, 13, 9, 22, 1, 0], [100, 13, 9, 22, 1, 0], [87, 13, 9, 22, 1, 0], [111, 13, 9, 22, 1, 0], [98, 13, 9, 22, 1, 0], [80, 13, 9, 22, 1, 0], [77, 13, 9, 22, 1, 0], [74, 13, 9, 22, 1, 0], [97, 32, 9, 22, 1, 0], [104, 13, 9, 22, 1, 0], [83, 13, 9, 22, 1, 0], [80, 8, 4, 21, 1, 0]]",55
SERVER_819,2020-06-18 14:20:00,"[[77, 95, 4, 13, 2, 2], [79, 11, 4, 13, 2, 4], [77, 95, 9, 13, 2, 4], [108, 109, 4, 12, 1, 0], [100, 13, 9, 12, 1, 0], [94, 13, 9, 12, 1, 0], [110, 26, 4, 12, 1, 0], [77, 13, 9, 12, 1, 0], [108, 109, 9, 12, 1, 0], [98, 13, 9, 12, 1, 0], [83, 13, 9, 12, 1, 0], [85, 13, 9, 12, 1, 0], [115, 13, 9, 12, 1, 0], [74, 13, 9, 12, 1, 0], [94, 13, 4, 12, 1, 0], [110, 20, 4, 12, 1, 0], [74, 13, 4, 12, 1, 0], [100, 13, 4, 12, 1, 0], [98, 13, 4, 12, 1, 0], [77, 13, 4, 12, 1, 0], [85, 13, 4, 12, 1, 0], [83, 13, 4, 12, 1, 0], [115, 13, 4, 11, 1, 0], [102, 76, 4, 5, 2, 3], [75, 76, 4, 5, 2, 3], [75, 76, 9, 4, 2, 3], [102, 76, 9, 4, 2, 3]]",55
SERVER_791,2020-10-08 07:23:00,"[[77, 95, 4, 12, 1, 0], [79, 11, 4, 11, 1, 0], [77, 95, 9, 11, 1, 0], [102, 76, 4, 8, 2, 4], [102, 76, 9, 8, 2, 4], [75, 76, 4, 6, 1, 0], [75, 76, 9, 6, 1, 0]]",55
SERVER_831,2020-06-26 22:50:00,"[[100, 95, 4, 14, 1, 0], [100, 95, 9, 13, 1, 0], [79, 11, 4, 13, 1, 0], [101, 76, 4, 7, 1, 0], [102, 76, 4, 7, 1, 0], [75, 76, 4, 7, 1, 0], [112, 76, 4, 7, 1, 0], [75, 76, 9, 6, 1, 0], [112, 76, 9, 6, 1, 0], [102, 76, 9, 6, 1, 0], [101, 76, 9, 6, 1, 0]]",55
SERVER_312,2020-02-10 14:14:00,"[[101, 76, 4, 41, 1, 0], [75, 76, 4, 41, 1, 0], [75, 76, 9, 41, 1, 0], [101, 76, 9, 41, 1, 0]]",55
SERVER_129,2020-01-14 17:34:00,"[[91, 6, 4, 66, 1, 0], [91, 132, 4, 66, 1, 0], [91, 132, 9, 65, 1, 0], [91, 6, 9, 65, 1, 0], [79, 11, 4, 65, 1, 0]]",55
SERVER_682,2020-06-17 11:22:00,"[[97, 90, 4, 63, 1, 0], [120, 90, 4, 63, 1, 0], [99, 90, 4, 63, 1, 0], [89, 90, 4, 63, 1, 0], [108, 109, 4, 63, 1, 0], [91, 6, 4, 63, 1, 0], [91, 132, 4, 63, 1, 0], [110, 26, 4, 63, 1, 0], [77, 13, 9, 63, 1, 0], [98, 13, 9, 63, 1, 0], [74, 13, 9, 63, 1, 0], [83, 13, 9, 63, 1, 0], [115, 13, 9, 63, 1, 0], [94, 13, 9, 63, 1, 0], [87, 13, 9, 63, 1, 0], [80, 13, 9, 63, 1, 0], [104, 13, 9, 63, 1, 0], [107, 13, 9, 63, 1, 0], [100, 13, 9, 63, 1, 0], [73, 13, 9, 63, 1, 0], [85, 13, 9, 63, 1, 0], [111, 13, 9, 63, 1, 0], [88, 13, 9, 63, 1, 0], [113, 13, 9, 63, 1, 0], [91, 6, 9, 63, 1, 0], [108, 109, 9, 63, 1, 0], [91, 132, 9, 63, 1, 0], [110, 20, 4, 63, 1, 0], [100, 13, 4, 63, 1, 0], [94, 13, 4, 63, 1, 0], [104, 13, 4, 63, 1, 0], [88, 13, 4, 63, 1, 0], [113, 13, 4, 63, 1, 0], [74, 13, 4, 63, 1, 0], [107, 13, 4, 63, 1, 0], [115, 13, 4, 63, 1, 0], [111, 13, 4, 63, 1, 0], [80, 13, 4, 63, 1, 0], [85, 13, 4, 63, 1, 0], [87, 13, 4, 63, 1, 0], [73, 13, 4, 63, 1, 0], [83, 13, 4, 63, 1, 0], [98, 13, 4, 63, 1, 0], [77, 13, 4, 63, 1, 0], [117, 90, 9, 60, 1, 0], [97, 90, 9, 60, 1, 0], [116, 90, 9, 60, 1, 0], [120, 90, 9, 60, 1, 0], [89, 90, 9, 60, 1, 0], [99, 90, 9, 60, 1, 0]]",55
SERVER_221,2020-08-18 11:11:00,"[[79, 11, 4, 93, 1, 0], [104, 95, 4, 93, 1, 0], [108, 109, 4, 93, 1, 0]]",55
SERVER_581,2020-10-15 18:44:00,"[[107, 92, 4, 100, 1, 0], [83, 13, 9, 20, 1, 0], [107, 92, 9, 20, 1, 0], [110, 26, 4, 20, 1, 0], [100, 13, 9, 20, 1, 0], [85, 13, 9, 20, 1, 0], [94, 13, 9, 20, 1, 0], [77, 13, 9, 20, 1, 0], [111, 13, 9, 20, 1, 0], [87, 13, 9, 20, 1, 0], [115, 13, 9, 20, 1, 0], [88, 13, 9, 20, 1, 0], [73, 13, 9, 20, 1, 0], [107, 13, 9, 20, 1, 0], [113, 13, 9, 20, 1, 0], [97, 32, 9, 20, 1, 0], [80, 13, 9, 20, 1, 0], [98, 13, 9, 20, 1, 0], [74, 13, 9, 20, 1, 0], [104, 13, 9, 20, 1, 0], [110, 20, 4, 20, 1, 0], [83, 13, 4, 20, 1, 0], [77, 13, 4, 20, 1, 0], [94, 13, 4, 20, 1, 0], [85, 13, 4, 20, 1, 0], [100, 13, 4, 20, 1, 0], [79, 11, 4, 20, 1, 0], [87, 13, 4, 20, 1, 0], [74, 13, 4, 20, 1, 0], [88, 13, 4, 20, 1, 0], [104, 13, 4, 20, 1, 0], [115, 13, 4, 20, 1, 0], [111, 13, 4, 20, 1, 0], [80, 13, 4, 20, 1, 0], [73, 13, 4, 20, 1, 0], [113, 13, 4, 20, 1, 0], [98, 13, 4, 20, 1, 0], [107, 13, 4, 20, 1, 0], [97, 32, 4, 20, 1, 0], [80, 8, 4, 19, 1, 0]]",55
SERVER_179,2020-05-19 22:55:00,"[[114, 8, 4, 71, 1, 0], [91, 8, 4, 71, 1, 0], [110, 26, 4, 71, 1, 0], [100, 13, 9, 71, 1, 0], [85, 13, 9, 71, 1, 0], [83, 13, 9, 71, 1, 0], [94, 13, 9, 71, 1, 0], [77, 13, 9, 71, 1, 0], [91, 8, 9, 71, 1, 0], [87, 13, 9, 71, 1, 0], [73, 13, 9, 71, 1, 0], [107, 13, 9, 71, 1, 0], [80, 13, 9, 71, 1, 0], [113, 13, 9, 71, 1, 0], [98, 13, 9, 71, 1, 0], [114, 8, 9, 71, 1, 0], [104, 13, 9, 71, 1, 0], [110, 20, 4, 71, 1, 0], [79, 11, 4, 71, 1, 0], [83, 13, 4, 71, 1, 0], [107, 13, 4, 71, 1, 0], [94, 13, 4, 71, 1, 0], [85, 13, 4, 71, 1, 0], [87, 13, 4, 71, 1, 0], [113, 13, 4, 71, 1, 0], [98, 13, 4, 71, 1, 0], [73, 13, 4, 71, 1, 0], [80, 13, 4, 71, 1, 0], [77, 13, 4, 71, 1, 0], [100, 13, 4, 71, 1, 0], [104, 13, 4, 71, 1, 0]]",55
