sn,fault_time,venus_feature
SERVER_3566,2020-07-06 10:33:00,"[[0, 0, 0, 0]]"
SERVER_4819,2020-03-20 12:24:00,"[[0, 0, 0, 0]]"
SERVER_4483,2020-04-25 08:54:00,"[[0, 0, 0, 0]]"
SERVER_16850,2020-03-06 17:27:00,"[[0, 0, 0, 0]]"
SERVER_17015,2020-01-22 18:56:00,"[[0, 0, 0, 0]]"
SERVER_5966,2020-11-22 20:27:00,"[[0, 0, 0, 0]]"
SERVER_4151,2020-04-27 21:06:00,"[[0, 0, 0, 0]]"
SERVER_4915,2020-04-21 01:44:00,"[[0, 0, 0, 0]]"
SERVER_4630,2020-04-16 14:33:00,"[[0, 0, 0, 0]]"
SERVER_5207,2020-01-02 02:51:00,"[[0, 0, 0, 0]]"
SERVER_6563,2020-04-20 07:49:00,"[[0, 0, 0, 0]]"
SERVER_17590,2020-11-20 13:46:00,"[[0, 0, 0, 0]]"
SERVER_4979,2020-04-20 21:57:00,"[[0, 0, 0, 0]]"
SERVER_16354,2020-06-06 14:24:00,"[[0, 0, 0, 0]]"
SERVER_16038,2020-07-03 02:09:00,"[[0, 0, 0, 0]]"
SERVER_23044,2020-09-08 16:02:00,"[[0, 0, 0, 0]]"
SERVER_16022,2020-03-18 22:07:00,"[[0, 0, 0, 0]]"
SERVER_4867,2020-04-19 18:37:00,"[[0, 0, 0, 0]]"
SERVER_15989,2020-04-25 17:42:00,"[[0, 0, 0, 0]]"
SERVER_17185,2020-07-15 04:20:00,"[[0, 0, 0, 0]]"
SERVER_4346,2020-04-28 21:05:00,"[[0, 0, 0, 0]]"
SERVER_4850,2020-04-06 15:54:00,"[[0, 0, 0, 0]]"
SERVER_5972,2020-03-26 23:25:00,"[[0, 0, 0, 0]]"
SERVER_16297,2020-05-01 00:19:00,"[[0, 0, 0, 0]]"
SERVER_17145,2020-05-29 08:40:00,"[[0, 0, 0, 0]]"
SERVER_5227,2020-04-15 04:56:00,"[[0, 0, 0, 0]]"
SERVER_7314,2020-10-01 04:59:00,"[[0, 0, 0, 0]]"
SERVER_3669,2020-05-14 12:34:00,"[[0, 0, 0, 0]]"
SERVER_5232,2020-06-07 07:01:00,"[[0, 0, 0, 0]]"
SERVER_4858,2020-09-11 03:06:00,"[[0, 0, 0, 0]]"
SERVER_5080,2020-08-04 11:12:00,"[[0, 0, 0, 0]]"
SERVER_5482,2020-02-22 13:36:00,"[[0, 0, 0, 0]]"
SERVER_4639,2020-01-20 15:27:00,"[[0, 0, 0, 0]]"
SERVER_16267,2020-03-07 10:59:00,"[[0, 0, 0, 0]]"
SERVER_4128,2020-03-22 06:41:00,"[[0, 0, 0, 0]]"
SERVER_4807,2020-11-13 23:52:00,"[[0, 0, 0, 0]]"
SERVER_16649,2020-04-20 11:46:00,"[[0, 0, 0, 0]]"
SERVER_6467,2020-05-09 22:44:00,"[[0, 0, 0, 0]]"
SERVER_4922,2020-05-09 21:41:00,"[[0, 0, 0, 0]]"
SERVER_5892,2020-04-18 12:33:00,"[[0, 0, 0, 0]]"
SERVER_5068,2020-05-17 18:36:00,"[[0, 0, 0, 0]]"
SERVER_5491,2020-04-10 20:19:00,"[[0, 0, 0, 0]]"
SERVER_5403,2020-06-13 09:51:00,"[[0, 0, 0, 0]]"
SERVER_4847,2020-05-21 21:27:00,"[[0, 0, 0, 0]]"
SERVER_3647,2020-04-12 05:21:00,"[[0, 0, 0, 0]]"
SERVER_4481,2020-05-03 04:00:00,"[[0, 0, 0, 0]]"
SERVER_4821,2020-03-06 02:05:00,"[[0, 0, 0, 0]]"
SERVER_16130,2020-09-19 22:05:00,"[[0, 0, 0, 0]]"
SERVER_16043,2020-06-04 00:51:00,"[[0, 0, 0, 0]]"
SERVER_16297,2020-05-29 01:57:00,"[[0, 0, 0, 0]]"
SERVER_7124,2020-09-12 14:33:00,"[[47, 48, 0, 0], [2, 3, 4, 356], [8, 14, 10, 356]]"
SERVER_17137,2020-06-03 14:27:00,"[[0, 0, 0, 0]]"
SERVER_5064,2020-03-12 17:46:00,"[[0, 0, 0, 0]]"
SERVER_5587,2020-04-11 00:41:00,"[[0, 0, 0, 0]]"
SERVER_4678,2020-07-07 18:36:00,"[[0, 0, 0, 0]]"
SERVER_6220,2020-09-13 06:51:00,"[[0, 0, 0, 0]]"
SERVER_15953,2020-01-16 18:08:00,"[[0, 0, 0, 0]]"
SERVER_5972,2020-03-26 23:20:00,"[[0, 0, 0, 0]]"
SERVER_5443,2020-03-23 12:14:00,"[[0, 0, 0, 0]]"
SERVER_4487,2020-04-16 15:52:00,"[[0, 0, 0, 0]]"
SERVER_7209,2020-11-18 08:52:00,"[[0, 0, 0, 0]]"
SERVER_4844,2020-05-10 00:02:00,"[[0, 0, 0, 0]]"
SERVER_16620,2020-04-17 20:03:00,"[[0, 0, 0, 0]]"
SERVER_7213,2020-09-19 21:11:00,"[[0, 0, 0, 0]]"
SERVER_5065,2020-03-06 01:12:00,"[[0, 0, 0, 0]]"
SERVER_5925,2020-04-28 23:00:00,"[[0, 0, 0, 0]]"
SERVER_4987,2020-05-09 18:59:00,"[[0, 0, 0, 0]]"
SERVER_16140,2020-03-05 04:32:00,"[[0, 0, 0, 0]]"
SERVER_17174,2020-06-11 20:42:00,"[[0, 0, 0, 0]]"
SERVER_5150,2020-05-04 19:55:00,"[[0, 0, 0, 0]]"
SERVER_5202,2020-01-17 21:01:00,"[[0, 0, 0, 0]]"
SERVER_5171,2020-05-08 08:57:00,"[[0, 0, 0, 0]]"
SERVER_7469,2020-10-05 03:34:00,"[[0, 0, 0, 0]]"
SERVER_5169,2020-03-06 02:38:00,"[[0, 0, 0, 0]]"
SERVER_17180,2020-05-26 16:11:00,"[[0, 0, 0, 0]]"
SERVER_16349,2020-02-05 06:38:00,"[[0, 0, 0, 0]]"
SERVER_16134,2020-03-10 03:23:00,"[[0, 0, 0, 0]]"
SERVER_4875,2020-03-06 18:56:00,"[[0, 0, 0, 0]]"
SERVER_4820,2020-05-04 04:15:00,"[[0, 0, 0, 0]]"
SERVER_2960,2020-04-27 18:34:00,"[[0, 0, 0, 0]]"
SERVER_4155,2020-01-20 16:30:00,"[[0, 0, 0, 0]]"
SERVER_2379,2020-11-02 23:13:00,"[[0, 0, 0, 0]]"
SERVER_2111,2020-07-29 15:21:00,"[[0, 0, 0, 0]]"
SERVER_2157,2020-09-20 00:21:00,"[[0, 0, 0, 0]]"
SERVER_2153,2020-07-14 17:23:00,"[[0, 0, 0, 0]]"
SERVER_2454,2020-02-18 16:11:00,"[[0, 0, 0, 0]]"
SERVER_2061,2020-09-22 11:42:00,"[[0, 0, 0, 0]]"
SERVER_2434,2020-10-13 10:27:00,"[[0, 0, 0, 0]]"
SERVER_2934,2020-03-20 16:14:00,"[[0, 0, 0, 0]]"
SERVER_2558,2020-04-26 12:30:00,"[[0, 0, 0, 0]]"
SERVER_2124,2020-07-16 16:44:00,"[[0, 0, 0, 0]]"
SERVER_2126,2020-09-01 18:05:00,"[[0, 0, 0, 0]]"
SERVER_2344,2020-03-13 05:03:00,"[[0, 0, 0, 0]]"
SERVER_2185,2020-02-23 22:26:00,"[[0, 0, 0, 0]]"
SERVER_6204,2020-06-20 07:12:00,"[[0, 0, 0, 0]]"
SERVER_2183,2020-05-20 21:37:00,"[[0, 0, 0, 0]]"
SERVER_3089,2020-05-14 02:20:00,"[[0, 0, 0, 0]]"
SERVER_3839,2020-09-21 01:38:00,"[[0, 0, 0, 0]]"
SERVER_2521,2020-04-22 17:08:00,"[[0, 0, 0, 0]]"
SERVER_2182,2020-04-02 14:05:00,"[[0, 0, 0, 0]]"
SERVER_2455,2020-04-07 22:19:00,"[[0, 0, 0, 0]]"
SERVER_3086,2020-08-23 12:03:00,"[[0, 0, 0, 0]]"
SERVER_2516,2020-07-25 07:40:00,"[[0, 0, 0, 0]]"
SERVER_6205,2020-07-07 20:43:00,"[[0, 0, 0, 0]]"
SERVER_2882,2020-07-01 14:26:00,"[[0, 0, 0, 0]]"
SERVER_2184,2020-08-21 16:57:00,"[[0, 0, 0, 0]]"
SERVER_2376,2020-05-16 15:09:00,"[[0, 0, 0, 0]]"
SERVER_2516,2020-07-25 16:06:00,"[[0, 0, 0, 0]]"
SERVER_15617,2020-07-22 13:08:00,"[[0, 0, 0, 0]]"
SERVER_2969,2020-02-20 02:10:00,"[[0, 0, 0, 0]]"
SERVER_15589,2020-10-08 17:12:00,"[[0, 0, 0, 0]]"
SERVER_3153,2020-03-26 02:00:00,"[[0, 0, 0, 0]]"
SERVER_3414,2020-05-27 10:45:00,"[[0, 0, 0, 0]]"
SERVER_3301,2020-01-30 06:17:00,"[[0, 0, 0, 0]]"
SERVER_3920,2020-09-04 04:00:00,"[[0, 0, 0, 0]]"
SERVER_3350,2020-10-07 00:46:00,"[[0, 0, 0, 0]]"
SERVER_3602,2020-03-16 03:28:00,"[[0, 0, 0, 0]]"
SERVER_17013,2020-09-05 12:46:00,"[[0, 0, 0, 0]]"
SERVER_3036,2020-10-03 08:27:00,"[[0, 0, 0, 0]]"
SERVER_17168,2020-08-16 13:12:00,"[[0, 0, 0, 0]]"
SERVER_7017,2020-07-15 19:37:00,"[[0, 0, 0, 0]]"
SERVER_3605,2020-09-06 09:53:00,"[[0, 0, 0, 0]]"
SERVER_3290,2020-09-06 03:40:00,"[[0, 0, 0, 0]]"
SERVER_2969,2020-02-21 04:54:00,"[[0, 0, 0, 0]]"
SERVER_17013,2020-09-05 13:46:00,"[[0, 0, 0, 0]]"
SERVER_17153,2020-11-09 18:54:00,"[[0, 0, 0, 0]]"
SERVER_3497,2020-08-12 23:15:00,"[[0, 0, 0, 0]]"
SERVER_3612,2020-04-30 06:39:00,"[[0, 0, 0, 0]]"
SERVER_15359,2020-06-29 17:33:00,"[[0, 0, 0, 0]]"
SERVER_5277,2020-08-21 15:35:00,"[[0, 0, 0, 0]]"
SERVER_16119,2020-10-01 21:26:00,"[[0, 0, 0, 0]]"
SERVER_3538,2020-01-14 02:50:00,"[[0, 0, 0, 0]]"
SERVER_15430,2020-08-18 06:49:00,"[[0, 0, 0, 0]]"
SERVER_15839,2020-06-11 07:51:00,"[[0, 0, 0, 0]]"
SERVER_7011,2020-11-14 21:11:00,"[[0, 0, 0, 0]]"
SERVER_2977,2020-07-14 12:07:00,"[[0, 0, 0, 0]]"
SERVER_3823,2020-08-21 06:03:00,"[[0, 0, 0, 0]]"
SERVER_3350,2020-10-06 23:34:00,"[[0, 0, 0, 0]]"
SERVER_15358,2020-06-30 12:22:00,"[[0, 0, 0, 0]]"
SERVER_15325,2020-06-22 22:17:00,"[[0, 0, 0, 0]]"
SERVER_7424,2020-10-14 03:45:00,"[[0, 0, 0, 0]]"
SERVER_15409,2020-01-20 19:46:00,"[[0, 0, 0, 0]]"
SERVER_6988,2020-05-09 11:48:00,"[[0, 0, 0, 0]]"
SERVER_17149,2020-08-12 16:26:00,"[[0, 0, 0, 0]]"
SERVER_3549,2020-05-01 06:09:00,"[[0, 0, 0, 0]]"
SERVER_15408,2020-04-19 03:53:00,"[[0, 0, 0, 0]]"
SERVER_3025,2020-10-31 15:19:00,"[[0, 0, 0, 0]]"
SERVER_15348,2020-04-14 17:20:00,"[[0, 0, 0, 0]]"
SERVER_16122,2020-04-17 12:13:00,"[[0, 0, 0, 0]]"
SERVER_2983,2020-06-18 18:04:00,"[[0, 0, 0, 0]]"
SERVER_15430,2020-08-18 06:53:00,"[[0, 0, 0, 0]]"
SERVER_6972,2020-06-20 15:27:00,"[[0, 0, 0, 0]]"
SERVER_3555,2020-01-17 09:06:00,"[[0, 0, 0, 0]]"
SERVER_4723,2020-09-25 09:28:00,"[[0, 0, 0, 0]]"
SERVER_16126,2020-01-18 17:40:00,"[[0, 0, 0, 0]]"
SERVER_15321,2020-08-27 14:26:00,"[[0, 0, 0, 0]]"
SERVER_15319,2020-10-30 14:40:00,"[[0, 0, 0, 0]]"
SERVER_3095,2020-01-01 21:22:00,"[[0, 0, 0, 0]]"
SERVER_17012,2020-02-19 03:04:00,"[[0, 0, 0, 0]]"
SERVER_3291,2020-09-25 14:19:00,"[[0, 0, 0, 0]]"
SERVER_15633,2020-01-25 08:47:00,"[[0, 0, 0, 0]]"
SERVER_2968,2020-05-30 13:00:00,"[[0, 0, 0, 0]]"
SERVER_15354,2020-08-22 16:06:00,"[[0, 0, 0, 0]]"
SERVER_15618,2020-02-20 20:16:00,"[[0, 0, 0, 0]]"
SERVER_15327,2020-06-07 02:07:00,"[[0, 0, 0, 0]]"
SERVER_15352,2020-03-13 03:21:00,"[[0, 0, 0, 0]]"
SERVER_17310,2020-06-20 03:13:00,"[[0, 0, 0, 0]]"
SERVER_7034,2020-08-13 16:34:00,"[[0, 0, 0, 0]]"
SERVER_17551,2020-11-18 18:00:00,"[[0, 0, 0, 0]]"
SERVER_15617,2020-07-10 14:37:00,"[[0, 0, 0, 0]]"
SERVER_17551,2020-11-24 11:15:00,"[[0, 0, 0, 0]]"
SERVER_15359,2020-06-29 19:57:00,"[[0, 0, 0, 0]]"
SERVER_15371,2020-08-04 18:42:00,"[[0, 0, 0, 0]]"
SERVER_17574,2020-10-05 06:42:00,"[[0, 0, 0, 0]]"
SERVER_17253,2020-09-06 19:36:00,"[[0, 0, 0, 0]]"
SERVER_15437,2020-02-15 18:22:00,"[[0, 0, 0, 0]]"
SERVER_7032,2020-07-21 13:33:00,"[[0, 0, 0, 0]]"
SERVER_7044,2020-06-07 11:27:00,"[[0, 0, 0, 0]]"
SERVER_2964,2020-10-01 21:41:00,"[[0, 0, 0, 0]]"
SERVER_2943,2020-02-08 14:54:00,"[[0, 0, 0, 0]]"
SERVER_15616,2020-08-24 11:58:00,"[[0, 0, 0, 0]]"
SERVER_3579,2020-07-31 12:32:00,"[[0, 0, 0, 0]]"
SERVER_3610,2020-11-24 21:57:00,"[[0, 0, 0, 0]]"
SERVER_15405,2020-06-27 17:46:00,"[[0, 0, 0, 0]]"
SERVER_15619,2020-06-02 16:32:00,"[[0, 0, 0, 0]]"
SERVER_3559,2020-07-19 20:16:00,"[[0, 0, 0, 0]]"
SERVER_7427,2020-03-24 05:41:00,"[[0, 0, 0, 0]]"
SERVER_17010,2020-02-18 09:15:00,"[[0, 0, 0, 0]]"
SERVER_7055,2020-11-21 16:40:00,"[[0, 0, 0, 0]]"
SERVER_3341,2020-08-18 11:36:00,"[[0, 0, 0, 0]]"
SERVER_2979,2020-07-12 05:42:00,"[[0, 0, 0, 0]]"
SERVER_7042,2020-08-07 18:51:00,"[[0, 0, 0, 0]]"
SERVER_5132,2020-08-23 22:12:00,"[[0, 0, 0, 0]]"
SERVER_3199,2020-08-17 05:01:00,"[[0, 0, 0, 0]]"
SERVER_3548,2020-08-27 23:25:00,"[[0, 0, 0, 0]]"
SERVER_5020,2020-05-19 09:53:00,"[[0, 0, 0, 0]]"
SERVER_17562,2020-10-16 13:18:00,"[[0, 0, 0, 0]]"
SERVER_3496,2020-09-02 19:31:00,"[[0, 0, 0, 0]]"
SERVER_3396,2020-09-24 01:00:00,"[[0, 0, 0, 0]]"
SERVER_15434,2020-09-08 01:49:00,"[[0, 0, 0, 0]]"
SERVER_17161,2020-07-12 17:25:00,"[[0, 0, 0, 0]]"
SERVER_3198,2020-05-21 15:08:00,"[[0, 0, 0, 0]]"
SERVER_7043,2020-05-14 17:29:00,"[[0, 0, 0, 0]]"
SERVER_3121,2020-06-15 03:19:00,"[[0, 0, 0, 0]]"
SERVER_15314,2020-02-28 12:46:00,"[[0, 0, 0, 0]]"
SERVER_15799,2020-01-19 17:26:00,"[[0, 0, 0, 0]]"
SERVER_15586,2020-09-29 02:24:00,"[[0, 0, 0, 0]]"
SERVER_15335,2020-06-11 12:48:00,"[[0, 0, 0, 0]]"
SERVER_3393,2020-05-10 07:49:00,"[[0, 0, 0, 0]]"
SERVER_4044,2020-09-17 16:49:00,"[[0, 0, 0, 0]]"
SERVER_7425,2020-01-31 08:38:00,"[[0, 0, 0, 0]]"
SERVER_7033,2020-07-09 12:50:00,"[[0, 0, 0, 0]]"
SERVER_7055,2020-05-20 22:14:00,"[[0, 0, 0, 0]]"
SERVER_3333,2020-04-20 00:58:00,"[[0, 0, 0, 0]]"
SERVER_17575,2020-10-22 12:40:00,"[[0, 0, 0, 0]]"
SERVER_15407,2020-09-02 11:21:00,"[[66, 67, 70, 5]]"
SERVER_15380,2020-04-15 14:42:00,"[[0, 0, 0, 0]]"
SERVER_3350,2020-10-08 14:41:00,"[[12, 9, 10, 364]]"
SERVER_7024,2020-06-22 21:24:00,"[[0, 0, 0, 0]]"
SERVER_7034,2020-08-13 16:30:00,"[[0, 0, 0, 0]]"
SERVER_17305,2020-05-28 18:47:00,"[[0, 0, 0, 0]]"
SERVER_3818,2020-05-03 22:41:00,"[[0, 0, 0, 0]]"
SERVER_3099,2020-06-13 07:36:00,"[[0, 0, 0, 0]]"
SERVER_3543,2020-01-17 04:21:00,"[[0, 0, 0, 0]]"
SERVER_7057,2020-07-10 08:27:00,"[[0, 0, 0, 0]]"
SERVER_17252,2020-05-30 11:33:00,"[[0, 0, 0, 0]]"
SERVER_17565,2020-09-29 16:35:00,"[[0, 0, 0, 0]]"
SERVER_3163,2020-03-04 04:06:00,"[[0, 0, 0, 0]]"
SERVER_17527,2020-09-26 01:21:00,"[[0, 0, 0, 0]]"
SERVER_3378,2020-08-27 03:01:00,"[[194, 195, 80, 5]]"
SERVER_3301,2020-01-16 06:17:00,"[[0, 0, 0, 0]]"
SERVER_15436,2020-05-05 17:22:00,"[[0, 0, 0, 0]]"
SERVER_17562,2020-10-16 13:27:00,"[[0, 0, 0, 0]]"
SERVER_2942,2020-01-22 05:57:00,"[[0, 0, 0, 0]]"
SERVER_5277,2020-08-15 20:33:00,"[[0, 0, 0, 0]]"
SERVER_7062,2020-06-14 04:58:00,"[[0, 0, 0, 0]]"
SERVER_15316,2020-07-08 12:44:00,"[[0, 0, 0, 0]]"
SERVER_2978,2020-06-26 17:13:00,"[[0, 0, 0, 0]]"
SERVER_17549,2020-10-04 12:32:00,"[[0, 0, 0, 0]]"
SERVER_3416,2019-12-30 13:43:00,"[[0, 0, 0, 0]]"
SERVER_17079,2020-06-22 01:39:00,"[[0, 0, 0, 0]]"
SERVER_4017,2020-06-12 07:23:00,"[[0, 0, 0, 0]]"
SERVER_7023,2020-07-06 22:29:00,"[[0, 0, 0, 0]]"
SERVER_3619,2020-01-17 18:31:00,"[[0, 0, 0, 0]]"
SERVER_7055,2020-10-30 18:36:00,"[[0, 0, 0, 0]]"
SERVER_5277,2020-08-17 10:27:00,"[[0, 0, 0, 0]]"
SERVER_15615,2020-01-27 11:15:00,"[[0, 0, 0, 0]]"
SERVER_3583,2020-08-04 11:19:00,"[[0, 0, 0, 0]]"
SERVER_6989,2020-08-31 06:04:00,"[[0, 0, 0, 0]]"
SERVER_6976,2020-08-11 21:14:00,"[[0, 0, 0, 0]]"
SERVER_3621,2020-09-23 00:36:00,"[[0, 0, 0, 0]]"
SERVER_16123,2020-11-19 16:09:00,"[[0, 0, 0, 0]]"
SERVER_15361,2020-07-20 02:48:00,"[[0, 0, 0, 0]]"
SERVER_3139,2020-02-18 16:49:00,"[[0, 0, 0, 0]]"
SERVER_15324,2020-11-23 22:33:00,"[[0, 0, 0, 0]]"
SERVER_3144,2020-05-13 21:22:00,"[[0, 0, 0, 0]]"
SERVER_15617,2020-07-22 11:53:00,"[[0, 0, 0, 0]]"
SERVER_7041,2020-10-23 07:13:00,"[[0, 0, 0, 0]]"
SERVER_3621,2020-09-22 23:12:00,"[[0, 0, 0, 0]]"
SERVER_15397,2020-08-11 04:31:00,"[[0, 0, 0, 0]]"
SERVER_7053,2020-07-10 03:09:00,"[[0, 0, 0, 0]]"
SERVER_3321,2020-09-02 16:50:00,"[[0, 0, 0, 0]]"
SERVER_15390,2020-01-01 10:12:00,"[[0, 0, 0, 0]]"
SERVER_15362,2020-03-14 10:38:00,"[[0, 0, 0, 0]]"
SERVER_15369,2020-01-27 20:59:00,"[[0, 0, 0, 0]]"
SERVER_4722,2020-03-27 17:13:00,"[[0, 0, 0, 0]]"
SERVER_3370,2020-02-07 20:34:00,"[[0, 0, 0, 0]]"
SERVER_15636,2020-08-27 12:01:00,"[[0, 0, 0, 0]]"
SERVER_3816,2020-01-19 22:35:00,"[[0, 0, 0, 0]]"
SERVER_6965,2020-07-09 13:18:00,"[[0, 0, 0, 0]]"
SERVER_2966,2020-01-12 17:18:00,"[[0, 0, 0, 0]]"
SERVER_7015,2020-09-08 15:36:00,"[[0, 0, 0, 0]]"
SERVER_15351,2020-05-05 15:21:00,"[[0, 0, 0, 0]]"
SERVER_7064,2020-06-23 13:12:00,"[[0, 0, 0, 0]]"
SERVER_15434,2020-09-06 14:13:00,"[[0, 0, 0, 0]]"
SERVER_15344,2020-08-29 10:06:00,"[[0, 0, 0, 0]]"
SERVER_3094,2020-10-22 17:49:00,"[[0, 0, 0, 0]]"
SERVER_3392,2020-11-03 12:46:00,"[[0, 0, 0, 0]]"
SERVER_15413,2020-08-01 18:04:00,"[[0, 0, 0, 0]]"
SERVER_17161,2020-07-25 23:10:00,"[[0, 0, 0, 0]]"
SERVER_17605,2020-10-03 22:58:00,"[[71, 50, 132, 365]]"
SERVER_15410,2020-06-15 22:30:00,"[[0, 0, 0, 0]]"
SERVER_3814,2020-09-23 16:01:00,"[[0, 0, 0, 0]]"
SERVER_15617,2020-07-19 20:28:00,"[[0, 0, 0, 0]]"
SERVER_15396,2020-02-06 19:13:00,"[[0, 0, 0, 0]]"
SERVER_3152,2020-07-08 04:44:00,"[[0, 0, 0, 0]]"
SERVER_3545,2020-01-29 20:43:00,"[[0, 0, 0, 0]]"
SERVER_5276,2020-03-19 12:40:00,"[[0, 0, 0, 0]]"
SERVER_17161,2020-07-23 15:10:00,"[[0, 0, 0, 0]]"
SERVER_3538,2020-01-14 02:28:00,"[[0, 0, 0, 0]]"
SERVER_15382,2020-10-18 04:30:00,"[[0, 0, 0, 0]]"
SERVER_17548,2020-11-03 06:37:00,"[[0, 0, 0, 0]]"
SERVER_3035,2020-06-16 18:02:00,"[[0, 0, 0, 0]]"
SERVER_3039,2020-06-02 12:43:00,"[[0, 0, 0, 0]]"
SERVER_15357,2020-04-30 13:31:00,"[[0, 0, 0, 0]]"
SERVER_17150,2020-05-19 17:19:00,"[[0, 0, 0, 0]]"
SERVER_15353,2020-02-25 21:05:00,"[[0, 0, 0, 0]]"
SERVER_3040,2019-12-29 16:03:00,"[[0, 0, 0, 0]]"
SERVER_7118,2020-08-18 16:26:00,"[[0, 0, 0, 0]]"
SERVER_7035,2020-06-23 01:03:00,"[[0, 0, 0, 0]]"
SERVER_17527,2020-09-26 01:13:00,"[[0, 0, 0, 0]]"
SERVER_7027,2020-07-20 01:45:00,"[[0, 0, 0, 0]]"
SERVER_3822,2020-01-24 15:27:00,"[[0, 0, 0, 0]]"
SERVER_3494,2020-08-17 02:46:00,"[[0, 0, 0, 0]]"
SERVER_3824,2020-10-18 08:34:00,"[[0, 0, 0, 0]]"
SERVER_2964,2020-09-16 06:41:00,"[[0, 0, 0, 0]]"
SERVER_3527,2020-09-17 03:09:00,"[[0, 0, 0, 0]]"
SERVER_7010,2020-05-14 04:39:00,"[[0, 0, 0, 0]]"
SERVER_17156,2020-05-02 05:52:00,"[[0, 0, 0, 0]]"
SERVER_15336,2020-02-03 17:39:00,"[[0, 0, 0, 0]]"
SERVER_3559,2020-05-04 12:48:00,"[[0, 0, 0, 0]]"
SERVER_3812,2020-01-31 20:05:00,"[[0, 0, 0, 0]]"
SERVER_15455,2020-03-05 02:57:00,"[[0, 0, 0, 0]]"
SERVER_17157,2020-06-30 19:18:00,"[[0, 0, 0, 0]]"
SERVER_3547,2020-09-16 07:10:00,"[[0, 0, 0, 0]]"
SERVER_17254,2020-09-18 16:34:00,"[[0, 0, 0, 0]]"
SERVER_5131,2020-04-01 15:03:00,"[[0, 0, 0, 0]]"
SERVER_7061,2020-05-20 18:50:00,"[[0, 0, 0, 0]]"
SERVER_17312,2020-08-03 05:15:00,"[[0, 0, 0, 0]]"
SERVER_3160,2020-08-23 20:39:00,"[[0, 0, 0, 0]]"
SERVER_3333,2020-09-17 22:49:00,"[[0, 0, 0, 0]]"
SERVER_2972,2020-05-24 06:18:00,"[[0, 0, 0, 0]]"
SERVER_3458,2019-12-28 17:22:00,"[[0, 0, 0, 0]]"
SERVER_5434,2020-02-19 22:37:00,"[[0, 0, 0, 0]]"
SERVER_3206,2020-02-05 13:56:00,"[[0, 0, 0, 0]]"
SERVER_3321,2020-03-17 22:40:00,"[[0, 0, 0, 0]]"
SERVER_5019,2020-04-24 19:26:00,"[[0, 0, 0, 0]]"
SERVER_6969,2020-08-24 04:29:00,"[[0, 0, 0, 0]]"
SERVER_3092,2020-01-25 05:29:00,"[[0, 0, 0, 0]]"
SERVER_3496,2020-09-03 06:51:00,"[[0, 0, 0, 0]]"
SERVER_3337,2020-08-31 00:27:00,"[[0, 0, 0, 0]]"
SERVER_3045,2020-05-09 23:22:00,"[[0, 0, 0, 0]]"
SERVER_15800,2020-03-17 00:30:00,"[[0, 0, 0, 0]]"
SERVER_7423,2020-02-21 01:23:00,"[[0, 0, 0, 0]]"
SERVER_15428,2020-08-14 16:06:00,"[[0, 0, 0, 0]]"
SERVER_15342,2020-10-06 11:40:00,"[[0, 0, 0, 0]]"
SERVER_17573,2020-11-19 10:40:00,"[[0, 0, 0, 0]]"
SERVER_2963,2020-04-27 11:40:00,"[[0, 0, 0, 0]]"
SERVER_7470,2020-03-29 07:50:00,"[[0, 0, 0, 0]]"
SERVER_3560,2020-02-04 16:45:00,"[[0, 0, 0, 0]]"
SERVER_7013,2020-11-07 03:09:00,"[[0, 0, 0, 0]]"
SERVER_15350,2020-11-03 10:59:00,"[[0, 0, 0, 0]]"
SERVER_3090,2020-10-14 12:52:00,"[[0, 0, 0, 0]]"
SERVER_15463,2020-10-23 00:48:00,"[[0, 0, 0, 0]]"
SERVER_3299,2020-04-17 15:59:00,"[[0, 0, 0, 0]]"
SERVER_3533,2020-02-08 13:43:00,"[[0, 0, 0, 0]]"
SERVER_3536,2020-07-13 04:12:00,"[[0, 0, 0, 0]]"
SERVER_3050,2020-07-07 10:51:00,"[[0, 0, 0, 0]]"
SERVER_17079,2020-11-12 05:41:00,"[[0, 0, 0, 0]]"
SERVER_2982,2020-04-17 23:44:00,"[[0, 0, 0, 0]]"
SERVER_3023,2020-04-25 18:45:00,"[[0, 0, 0, 0]]"
SERVER_7012,2020-10-20 06:24:00,"[[0, 0, 0, 0]]"
SERVER_3155,2020-01-23 13:58:00,"[[0, 0, 0, 0]]"
SERVER_3607,2020-04-20 17:02:00,"[[0, 0, 0, 0]]"
SERVER_15437,2020-09-05 15:14:00,"[[0, 0, 0, 0]]"
SERVER_6976,2020-08-31 00:44:00,"[[0, 0, 0, 0]]"
SERVER_15335,2020-06-05 14:13:00,"[[0, 0, 0, 0]]"
SERVER_17156,2020-07-26 04:09:00,"[[0, 0, 0, 0]]"
SERVER_3607,2020-05-22 19:07:00,"[[0, 0, 0, 0]]"
SERVER_7013,2020-11-07 03:16:00,"[[0, 0, 0, 0]]"
SERVER_3321,2020-09-05 13:41:00,"[[0, 0, 0, 0]]"
SERVER_7023,2020-06-12 01:48:00,"[[0, 0, 0, 0]]"
SERVER_5277,2020-08-23 16:48:00,"[[0, 0, 0, 0]]"
SERVER_15325,2020-06-13 22:02:00,"[[0, 0, 0, 0]]"
SERVER_3559,2020-07-12 10:33:00,"[[0, 0, 0, 0]]"
SERVER_3579,2020-07-24 20:42:00,"[[0, 0, 0, 0]]"
SERVER_5019,2020-05-16 02:55:00,"[[0, 0, 0, 0]]"
